Neurons,% Error,number of patterns,iterations
101.0,0.0,1429.0,1.0
101.0,0.0,1433.0,1.0
101.0,0.0,1439.0,1.0
101.0,0.0,1447.0,1.0
101.0,0.0,1451.0,1.0
101.0,0.0,1453.0,1.0
101.0,0.0,1459.0,1.0
101.0,0.0,1471.0,1.0
101.0,0.0,1481.0,1.0
101.0,0.0,1483.0,1.0
101.0,0.0,1487.0,1.0
101.0,0.0,1489.0,1.0
101.0,0.0,1493.0,1.0
101.0,0.0,1499.0,1.0
101.0,0.0,1511.0,1.0
101.0,0.0,1523.0,1.0
101.0,0.0,1531.0,1.0
101.0,0.0,1543.0,1.0
101.0,0.0,1549.0,1.0
101.0,0.0,1553.0,1.0
101.0,0.0,1559.0,1.0
101.0,0.0,1567.0,1.0
101.0,0.0,1571.0,1.0
101.0,0.0,1579.0,1.0
101.0,0.0,1583.0,1.0
101.0,0.0,1597.0,1.0
101.0,0.0,1601.0,1.0
101.0,0.0,1607.0,1.0
101.0,0.0,1609.0,1.0
101.0,0.0,1613.0,1.0
101.0,0.0,1619.0,1.0
101.0,0.0,1621.0,1.0
101.0,0.0,1627.0,1.0
101.0,0.0,1637.0,1.0
101.0,0.0,1657.0,1.0
101.0,0.0,1663.0,1.0
101.0,0.0,1667.0,1.0
101.0,0.0,1669.0,1.0
101.0,0.0,1693.0,1.0
101.0,0.0,1697.0,1.0
101.0,0.0,1699.0,1.0
101.0,0.0,1709.0,1.0
101.0,0.0,1721.0,1.0
101.0,0.0,1723.0,1.0
101.0,0.0,1733.0,1.0
101.0,0.0,1741.0,1.0
101.0,0.0,1747.0,1.0
101.0,0.0,1753.0,1.0
101.0,0.0,1759.0,1.0
101.0,0.0,1777.0,1.0
101.0,0.0,1783.0,1.0
101.0,0.0,1787.0,1.0
101.0,0.0,1789.0,1.0
101.0,0.0,1801.0,1.0
101.0,0.0,1811.0,1.0
101.0,0.0,1823.0,1.0
101.0,0.0,1831.0,1.0
101.0,0.0,1847.0,1.0
101.0,0.0,1861.0,1.0
101.0,0.0,1867.0,1.0
101.0,0.0,1871.0,1.0
101.0,0.0,1873.0,1.0
101.0,0.0,1877.0,1.0
101.0,0.0,1879.0,1.0
101.0,0.0,1889.0,1.0
101.0,0.0,1901.0,1.0
101.0,0.0,1907.0,1.0
101.0,0.0,1913.0,1.0
101.0,0.0,1931.0,1.0
101.0,0.0,1933.0,1.0
101.0,0.0,1949.0,1.0
101.0,0.0,1951.0,1.0
101.0,0.0,1973.0,1.0
101.0,0.0,1979.0,1.0
101.0,0.0,1987.0,1.0
101.0,0.0,1993.0,1.0
101.0,0.0,1997.0,1.0
101.0,0.0,1999.0,1.0
101.0,0.0,2003.0,1.0
101.0,0.0,2011.0,1.0
101.0,0.0,2017.0,1.0
101.0,0.0,2027.0,1.0
101.0,0.0,2029.0,1.0
101.0,0.0,2039.0,1.0
101.0,0.0,2053.0,1.0
101.0,0.0,2063.0,1.0
101.0,0.0,2069.0,1.0
101.0,0.0,2081.0,1.0
101.0,0.0,2083.0,1.0
101.0,0.0,2087.0,1.0
101.0,0.0,2089.0,1.0
101.0,0.0,2099.0,1.0
101.0,0.0,2111.0,1.0
101.0,0.0,2113.0,1.0
101.0,0.0,2129.0,1.0
101.0,0.0,2131.0,1.0
101.0,0.0,2137.0,1.0
101.0,0.0,2141.0,1.0
101.0,0.0,2143.0,1.0
101.0,0.0,2153.0,1.0
101.0,0.0,2161.0,1.0
101.0,0.0,2179.0,1.0
101.0,0.0,2203.0,1.0
101.0,0.0,2207.0,1.0
101.0,0.0,2213.0,1.0
101.0,0.0,2221.0,1.0
101.0,0.0,2237.0,1.0
101.0,0.0,2239.0,1.0
101.0,0.0,2243.0,1.0
101.0,0.0,2251.0,1.0
101.0,0.0,2267.0,1.0
101.0,0.0,2269.0,1.0
101.0,0.0,2273.0,1.0
101.0,0.0,2281.0,1.0
101.0,0.0,2287.0,1.0
101.0,0.0,2293.0,1.0
101.0,0.0,2297.0,1.0
101.0,0.0,2309.0,1.0
101.0,0.0,2311.0,1.0
101.0,0.0,2333.0,1.0
101.0,0.0,2339.0,1.0
101.0,0.0,2341.0,1.0
101.0,0.0,2347.0,1.0
101.0,0.0,2351.0,1.0
101.0,0.0,2357.0,1.0
101.0,0.0,2371.0,1.0
101.0,0.0,2377.0,1.0
101.0,0.0,2381.0,1.0
101.0,0.0,2383.0,1.0
101.0,0.0,2389.0,1.0
101.0,0.0,2393.0,1.0
101.0,0.0,2399.0,1.0
101.0,0.0,2411.0,1.0
101.0,0.0,2417.0,1.0
101.0,0.0,2423.0,1.0
101.0,0.0,2437.0,1.0
101.0,0.0,2441.0,1.0
101.0,0.0,2447.0,1.0
101.0,0.0,2459.0,1.0
101.0,0.0,2467.0,1.0
101.0,0.0,2473.0,1.0
101.0,0.0,2477.0,1.0
101.0,0.0,2503.0,1.0
101.0,0.0,2521.0,1.0
101.0,0.0,2531.0,1.0
101.0,0.0,2539.0,1.0
101.0,0.0,2543.0,1.0
101.0,0.0,2549.0,1.0
101.0,0.0,2551.0,1.0
101.0,0.0,2557.0,1.0
101.0,0.0,2579.0,1.0
101.0,0.0,2591.0,1.0
101.0,0.0,2593.0,1.0
101.0,0.0,2609.0,1.0
101.0,0.0,2617.0,1.0
101.0,0.0,2621.0,1.0
101.0,0.0,2633.0,1.0
101.0,0.0,2647.0,1.0
101.0,0.0,2657.0,1.0
101.0,0.0,2659.0,1.0
101.0,0.0,2663.0,1.0
101.0,0.0,2671.0,1.0
101.0,0.0,2677.0,1.0
101.0,0.0,2683.0,1.0
101.0,0.0,2687.0,1.0
101.0,0.0,2689.0,1.0
101.0,0.0,2693.0,1.0
101.0,0.0,2699.0,1.0
101.0,0.0,2707.0,1.0
101.0,0.0,2711.0,1.0
101.0,0.0,2713.0,1.0
101.0,0.0,2719.0,1.0
101.0,0.0,2729.0,1.0
101.0,0.0,2731.0,1.0
101.0,0.0,2741.0,1.0
101.0,0.0,2749.0,1.0
101.0,0.0,2753.0,1.0
101.0,0.0,2767.0,1.0
101.0,0.0,2777.0,1.0
101.0,0.0,2789.0,1.0
101.0,0.0,2791.0,1.0
101.0,0.0,2797.0,1.0
101.0,0.0,2801.0,1.0
101.0,0.0,2803.0,1.0
101.0,0.0,2819.0,1.0
101.0,0.0,2833.0,1.0
101.0,0.0,2837.0,1.0
101.0,0.0,2843.0,1.0
101.0,0.0,2851.0,1.0
101.0,0.0,2857.0,1.0
101.0,0.0,2861.0,1.0
101.0,0.0,2879.0,1.0
101.0,0.0,2887.0,1.0
101.0,0.0,2897.0,1.0
101.0,0.0,2903.0,1.0
101.0,0.0,2909.0,1.0
101.0,0.0,2917.0,1.0
101.0,0.0,2927.0,1.0
101.0,0.0,2939.0,1.0
101.0,0.0,2953.0,1.0
101.0,0.0,2957.0,1.0
101.0,0.0,2963.0,1.0
101.0,0.0,2969.0,1.0
101.0,0.0,2971.0,1.0
101.0,0.0,2999.0,1.0
101.0,0.0,3001.0,1.0
101.0,0.0,3011.0,1.0
101.0,0.0,3019.0,1.0
101.0,0.0,3023.0,1.0
101.0,0.0,3037.0,1.0
101.0,0.0,3041.0,1.0
101.0,0.0,3049.0,1.0
101.0,0.0,3061.0,1.0
101.0,0.0,3067.0,1.0
101.0,0.0,3079.0,1.0
101.0,0.0,3083.0,1.0
101.0,0.0,3089.0,1.0
101.0,0.0,3109.0,1.0
101.0,0.0,3119.0,1.0
101.0,0.0,3121.0,1.0
101.0,0.0,3137.0,1.0
101.0,0.0,3163.0,1.0
101.0,0.0,3167.0,1.0
101.0,0.0,3169.0,1.0
101.0,0.0,3181.0,1.0
101.0,0.0,3187.0,1.0
101.0,0.0,3191.0,1.0
101.0,0.0,3203.0,1.0
101.0,0.0,3209.0,1.0
101.0,0.0,3217.0,1.0
101.0,0.0,3221.0,1.0
101.0,0.0,3229.0,1.0
101.0,0.0,3251.0,1.0
101.0,0.0,3253.0,1.0
101.0,0.0,3257.0,1.0
101.0,0.0,3259.0,1.0
101.0,0.0,3271.0,1.0
101.0,0.0,3299.0,1.0
101.0,0.0,3301.0,1.0
101.0,0.0,3307.0,1.0
101.0,0.0,3313.0,1.0
101.0,0.0,3319.0,1.0
101.0,0.0,3323.0,1.0
101.0,0.0,3329.0,1.0
101.0,0.0,3331.0,1.0
101.0,0.0,3343.0,1.0
101.0,0.0,3347.0,1.0
101.0,0.0,3359.0,1.0
101.0,0.0,3361.0,1.0
101.0,0.0,3371.0,1.0
101.0,0.0,3373.0,1.0
101.0,0.0,3389.0,1.0
101.0,0.0,3391.0,1.0
101.0,0.0,3407.0,1.0
101.0,0.0,3413.0,1.0
101.0,0.0,3433.0,1.0
101.0,0.0,3449.0,1.0
101.0,0.0,3457.0,1.0
101.0,0.0,3461.0,1.0
101.0,0.0,3463.0,1.0
101.0,0.0,3467.0,1.0
101.0,0.0,3469.0,1.0
101.0,0.0,3491.0,1.0
101.0,0.0,3499.0,1.0
101.0,0.0,3511.0,1.0
101.0,0.0,3517.0,1.0
101.0,0.0,3527.0,1.0
101.0,0.0,3529.0,1.0
101.0,0.0,3533.0,1.0
101.0,0.0,3539.0,1.0
101.0,0.0,3541.0,1.0
101.0,0.0,3547.0,1.0
101.0,0.0,3557.0,1.0
101.0,0.0,3559.0,1.0
101.0,0.0,3571.0,1.0
101.0,0.0,3581.0,1.0
101.0,0.0,3583.0,1.0
101.0,0.0,3593.0,1.0
101.0,0.0,3607.0,1.0
101.0,0.0,3613.0,1.0
101.0,0.0,3617.0,1.0
101.0,0.0,3623.0,1.0
101.0,0.0,3631.0,1.0
101.0,0.0,3637.0,1.0
101.0,0.0,3643.0,1.0
101.0,0.0,3659.0,1.0
101.0,0.0,3671.0,1.0
101.0,0.0,3673.0,1.0
101.0,0.0,3677.0,1.0
101.0,0.0,3691.0,1.0
101.0,0.0,3697.0,1.0
101.0,0.0,3701.0,1.0
101.0,0.0,3709.0,1.0
101.0,0.0,3719.0,1.0
101.0,0.0,3727.0,1.0
101.0,0.0,3733.0,1.0
101.0,0.0,3739.0,1.0
101.0,0.0,3761.0,1.0
101.0,0.0,3767.0,1.0
101.0,0.0,3769.0,1.0
101.0,0.0,3779.0,1.0
101.0,0.0,3793.0,1.0
101.0,0.0,3797.0,1.0
101.0,0.0,3803.0,1.0
101.0,0.0,3821.0,1.0
101.0,0.0,3823.0,1.0
101.0,0.0,3833.0,1.0
101.0,0.0,3847.0,1.0
101.0,0.0,3851.0,1.0
101.0,0.0,3853.0,1.0
101.0,0.0,3863.0,1.0
101.0,0.0,3877.0,1.0
101.0,0.0,3881.0,1.0
101.0,0.0,3889.0,1.0
101.0,0.0,3907.0,1.0
101.0,0.0,3911.0,1.0
101.0,0.0,3917.0,1.0
101.0,0.0,3919.0,1.0
101.0,0.0,3923.0,1.0
101.0,0.0,3929.0,1.0
101.0,0.0,3931.0,1.0
101.0,0.0,3943.0,1.0
101.0,0.0,3947.0,1.0
101.0,0.0,3967.0,1.0
101.0,0.0,3989.0,1.0
101.0,0.0,4001.0,1.0
101.0,0.0,4003.0,1.0
101.0,0.0,4007.0,1.0
101.0,0.0,4013.0,1.0
101.0,0.0,4019.0,1.0
101.0,0.0,4021.0,1.0
101.0,0.0,4027.0,1.0
101.0,0.0,4049.0,1.0
101.0,0.0,4051.0,1.0
101.0,0.0,4057.0,1.0
101.0,0.0,4073.0,1.0
101.0,0.0,4079.0,1.0
101.0,0.0,4091.0,1.0
101.0,0.0,4093.0,1.0
101.0,0.0,4099.0,1.0
101.0,0.0,4111.0,1.0
101.0,0.0,4127.0,1.0
101.0,0.0,4129.0,1.0
101.0,0.0,4133.0,1.0
101.0,0.0,4139.0,1.0
101.0,0.0,4153.0,1.0
101.0,0.0,4157.0,1.0
101.0,0.0,4159.0,1.0
101.0,0.0,4177.0,1.0
101.0,0.0,4201.0,1.0
101.0,0.0,4211.0,1.0
101.0,0.0,4217.0,1.0
101.0,0.0,4219.0,1.0
101.0,0.0,4229.0,1.0
101.0,0.0,4231.0,1.0
101.0,0.0,4241.0,1.0
101.0,0.0,4243.0,1.0
101.0,0.0,4253.0,1.0
101.0,0.0,4259.0,1.0
101.0,0.0,4261.0,1.0
101.0,0.0,4271.0,1.0
101.0,0.0,4273.0,1.0
101.0,0.0,4283.0,1.0
101.0,0.0,4289.0,1.0
101.0,0.0,4297.0,1.0
101.0,0.0,4327.0,1.0
101.0,0.0,4337.0,1.0
101.0,0.0,4339.0,1.0
101.0,0.0,4349.0,1.0
101.0,0.0,4357.0,1.0
101.0,0.0,4363.0,1.0
101.0,0.0,4373.0,1.0
101.0,0.0,4391.0,1.0
101.0,0.0,4397.0,1.0
101.0,0.0,4409.0,1.0
101.0,0.0,4421.0,1.0
101.0,0.0,4423.0,1.0
101.0,0.0,4441.0,1.0
101.0,0.0,4447.0,1.0
101.0,0.0,4451.0,1.0
101.0,0.0,4457.0,1.0
101.0,0.0,4463.0,1.0
101.0,0.0,4481.0,1.0
101.0,0.0,4483.0,1.0
101.0,0.0,4493.0,1.0
101.0,0.0,4507.0,1.0
101.0,0.0,4513.0,1.0
101.0,0.0,4517.0,1.0
101.0,0.0,4519.0,1.0
101.0,0.0,4523.0,1.0
101.0,0.0,4547.0,1.0
101.0,0.0,4549.0,1.0
101.0,0.0,4561.0,1.0
101.0,0.0,4567.0,1.0
101.0,0.0,4583.0,1.0
101.0,0.0,4591.0,1.0
101.0,0.0,4597.0,1.0
101.0,0.0,4603.0,1.0
101.0,0.0,4621.0,1.0
101.0,0.0,4637.0,1.0
101.0,0.0,4639.0,1.0
101.0,0.0,4643.0,1.0
101.0,0.0,4649.0,1.0
101.0,0.0,4651.0,1.0
101.0,0.0,4657.0,1.0
101.0,0.0,4663.0,1.0
101.0,0.0,4673.0,1.0
101.0,0.0,4679.0,1.0
101.0,0.2,4691.0,1.0
101.0,0.0,4703.0,1.0
101.0,0.0,4721.0,1.0
101.0,0.2,4723.0,1.0
101.0,0.0,4729.0,1.0
101.0,0.0,4733.0,1.0
101.0,0.0,4751.0,1.0
101.0,0.0,4759.0,1.0
101.0,0.0,4783.0,1.0
101.0,0.0,4787.0,1.0
101.0,0.0,4789.0,1.0
101.0,0.0,4793.0,1.0
101.0,0.0,4799.0,1.0
101.0,0.0,4801.0,1.0
101.0,0.0,4813.0,1.0
101.0,0.0,4817.0,1.0
101.0,0.0,4831.0,1.0
101.0,0.0,4861.0,1.0
101.0,0.0,4871.0,1.0
101.0,0.0,4877.0,1.0
101.0,0.4,4889.0,1.0
101.0,0.0,4903.0,1.0
101.0,0.2,4909.0,1.0
101.0,0.0,4919.0,1.0
101.0,0.0,4931.0,1.0
101.0,0.0,4933.0,1.0
101.0,0.2,4937.0,1.0
101.0,0.0,4943.0,1.0
101.0,0.0,4951.0,1.0
101.0,0.0,4957.0,1.0
101.0,0.0,4967.0,1.0
101.0,0.0,4969.0,1.0
101.0,0.0,4973.0,1.0
101.0,0.0,4987.0,1.0
101.0,0.0,4993.0,1.0
101.0,0.0,4999.0,1.0
101.0,0.0,5003.0,1.0
101.0,0.0,5009.0,1.0
101.0,0.0,5011.0,1.0
101.0,0.0,5021.0,1.0
101.0,0.0,5023.0,1.0
101.0,0.0,5039.0,1.0
101.0,0.0,5051.0,1.0
101.0,0.0,5059.0,1.0
101.0,0.0,5077.0,1.0
101.0,0.0,5081.0,1.0
101.0,0.0,5087.0,1.0
101.0,0.0,5099.0,1.0
101.0,0.0,5101.0,1.0
101.0,0.0,5107.0,1.0
101.0,0.0,5113.0,1.0
101.0,0.0,5119.0,1.0
101.0,0.0,5147.0,1.0
101.0,0.0,5153.0,1.0
101.0,0.0,5167.0,1.0
101.0,0.0,5171.0,1.0
101.0,0.0,5179.0,1.0
101.0,0.0,5189.0,1.0
101.0,0.0,5197.0,1.0
101.0,0.0,5209.0,1.0
101.0,0.0,5227.0,1.0
101.0,0.0,5231.0,1.0
101.0,0.0,5233.0,1.0
101.0,0.0,5237.0,1.0
101.0,0.2,5261.0,1.0
101.0,0.0,5273.0,1.0
101.0,0.0,5279.0,1.0
101.0,0.0,5281.0,1.0
101.0,0.0,5297.0,1.0
101.0,0.0,5303.0,1.0
101.0,0.0,5309.0,1.0
101.0,0.0,5323.0,1.0
101.0,0.0,5333.0,1.0
101.0,0.0,5347.0,1.0
101.0,0.0,5351.0,1.0
101.0,0.0,5381.0,1.0
101.0,0.0,5387.0,1.0
101.0,0.0,5393.0,1.0
101.0,0.0,5399.0,1.0
101.0,0.2,5407.0,1.0
101.0,0.0,5413.0,1.0
101.0,0.0,5417.0,1.0
101.0,0.0,5419.0,1.0
101.0,0.0,5431.0,1.0
101.0,0.0,5437.0,1.0
101.0,0.0,5441.0,1.0
101.0,0.0,5443.0,1.0
101.0,0.0,5449.0,1.0
101.0,0.0,5471.0,1.0
101.0,0.2,5477.0,1.0
101.0,0.0,5479.0,1.0
101.0,0.0,5483.0,1.0
101.0,0.0,5501.0,1.0
101.0,0.0,5503.0,1.0
101.0,0.0,5507.0,1.0
101.0,0.0,5519.0,1.0
101.0,0.0,5521.0,1.0
101.0,0.0,5527.0,1.0
101.0,0.0,5531.0,1.0
101.0,0.0,5557.0,1.0
101.0,0.0,5563.0,1.0
101.0,0.0,5569.0,1.0
101.0,0.0,5573.0,1.0
101.0,0.0,5581.0,1.0
101.0,0.0,5591.0,1.0
101.0,0.2,5623.0,1.0
101.0,0.0,5639.0,1.0
101.0,0.0,5641.0,1.0
101.0,0.0,5647.0,1.0
101.0,0.0,5651.0,1.0
101.0,0.0,5653.0,1.0
101.0,0.0,5657.0,1.0
101.0,0.0,5659.0,1.0
101.0,0.2,5669.0,1.0
101.0,0.0,5683.0,1.0
101.0,0.0,5689.0,1.0
101.0,0.0,5693.0,1.0
101.0,0.0,5701.0,1.0
101.0,0.0,5711.0,1.0
101.0,0.0,5717.0,1.0
101.0,0.0,5737.0,1.0
101.0,0.0,5741.0,1.0
101.0,0.0,5743.0,1.0
101.0,0.0,5749.0,1.0
101.0,0.0,5779.0,1.0
101.0,0.0,5783.0,1.0
101.0,0.2,5791.0,1.0
101.0,0.0,5801.0,1.0
101.0,0.0,5807.0,1.0
101.0,0.0,5813.0,1.0
101.0,0.0,5821.0,1.0
101.0,0.0,5827.0,1.0
101.0,0.0,5839.0,1.0
101.0,0.0,5843.0,1.0
101.0,0.0,5849.0,1.0
101.0,0.0,5851.0,1.0
101.0,0.2,5857.0,1.0
101.0,0.0,5861.0,1.0
101.0,0.0,5867.0,1.0
101.0,0.2,5869.0,1.0
101.0,0.0,5879.0,1.0
101.0,0.0,5881.0,1.0
101.0,0.0,5897.0,1.0
101.0,0.0,5903.0,1.0
101.0,0.2,5923.0,1.0
101.0,0.0,5927.0,1.0
101.0,0.0,5939.0,1.0
101.0,0.2,5953.0,1.0
101.0,0.2,5981.0,1.0
101.0,0.0,5987.0,1.0
101.0,0.0,6007.0,1.0
101.0,0.2,6011.0,1.0
101.0,0.0,6029.0,1.0
101.0,0.0,6037.0,1.0
101.0,0.0,6043.0,1.0
101.0,0.0,6047.0,1.0
101.0,0.0,6053.0,1.0
101.0,0.0,6067.0,1.0
101.0,0.0,6073.0,1.0
101.0,0.2,6079.0,1.0
101.0,0.0,6089.0,1.0
101.0,0.0,6091.0,1.0
101.0,0.2,6101.0,1.0
101.0,0.0,6113.0,1.0
101.0,0.0,6121.0,1.0
101.0,0.2,6131.0,1.0
101.0,0.0,6133.0,1.0
101.0,0.0,6143.0,1.0
101.0,0.0,6151.0,1.0
101.0,0.0,6163.0,1.0
101.0,0.0,6173.0,1.0
101.0,0.2,6197.0,1.0
101.0,0.0,6199.0,1.0
101.0,0.0,6203.0,1.0
101.0,0.0,6211.0,1.0
101.0,0.0,6217.0,1.0
101.0,0.2,6221.0,1.0
101.0,0.0,6229.0,1.0
101.0,0.0,6247.0,1.0
101.0,0.0,6257.0,1.0
101.0,0.2,6263.0,1.0
101.0,0.0,6269.0,1.0
101.0,0.2,6271.0,1.0
101.0,0.0,6277.0,1.0
101.0,0.0,6287.0,1.0
101.0,0.0,6299.0,1.0
101.0,0.0,6301.0,1.0
101.0,0.0,6311.0,1.0
101.0,0.2,6317.0,1.0
101.0,0.0,6323.0,1.0
101.0,0.0,6329.0,1.0
101.0,0.0,6337.0,1.0
101.0,0.0,6343.0,1.0
101.0,0.0,6353.0,1.0
101.0,0.0,6359.0,1.0
101.0,0.0,6361.0,1.0
101.0,0.0,6367.0,1.0
101.0,0.4,6373.0,1.0
101.0,0.0,6379.0,1.0
